Data transakcji,Miasto/Gmina,Obręb,Zbyte prawo,Pu lokalu [m2],Pow. przynależna [m2],Pom. przynależne,Cena 1m2 bez VAT [zł],Zakt.cena bez VAT [zł],Program użytkowy,Kondygnacja,Sprzedał,Kupił
2021-05-31,Gdańsk, Klukowo,własność-własność,3539.0,3.6,komórka lokatorska,80.48,284818.41,"pokój:1,pokój z aneksem kuchennym:1,łazienka z wc:1,korytarz:1",2.0,deweloper,osoba fizyczna
2021-05-07,Gdańsk, Przymorze Wielkie,własność-własność,70.10000000000001,3.8,komórka lokatorska,356.63,25000.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka:1,wc:1,korytarz:1",4.0,spółka prawa handlowego,spółka prawa handlowego
2020-10-29,Gdańsk, Szadółki,własność-własność,40.0,4.15,komórka lokatorska,773.46,30938.5,"pokój:1,pokój z aneksem kuchennym:1,łazienka z wc:1,przedpokój:1",1.0,deweloper,osoba fizyczna
2020-09-23,Gdańsk, Oliwa,spółdzielcze wł. prawo,28.4,999.0,brak,845.07,24000.0,"pokój:1,kuchnia:1,łazienka z wc:1",6.0,osoba fizyczna,osoba fizyczna
2020-06-08,Sopot, Sopot,własność-własność,86.0,5.9,komórka lokatorska,854.65,73500.0,"pokój:3,kuchnia:1,wc:1,przedpokój:1,weranda:1,pomieszczenie gospodarcze:1",2.0,osoba fizyczna,osoba fizyczna
2021-06-23,Gdańsk, Przymorze Wielkie,własność-własność,46.0,0.0,brak,869.57,40000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",11.0,osoba fizyczna,osoba fizyczna
2021-07-22,Gdynia, Redłowo,własność-własność,56.27,4.08,komórka lokatorska,977.43,55000.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka:1,przedpokój:1",6.0,osoba fizyczna,osoba fizyczna
2021-05-05,Gdynia, Oksywie,własność-własność,80.80000000000001,5.1,piwnica,990.1,80000.0,"pokój:4,kuchnia:1,łazienka:1,wc:1",3.0,osoba fizyczna,osoba fizyczna
2021-06-15,Gdynia, Śródmieście z Portem,własność-własność,35.7,0.0,nie podano,1170.25,41778.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",1.0,Skarb Państwa,osoba fizyczna
2021-04-15,Gdańsk, Strzyża,własność-własność,87.91,0.0,nie podano,1330.91,117000.0,"pokój:3,pokój z aneksem kuchennym:1,łazienka:2,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-09-18,Gdańsk, Strzyża,własność-własność,85.65,4.79,garaż,1366.02,117000.0,"pokój:2,pokój z aneksem kuchennym:1,łazienka:1,wc:1,przedpokój:1",5.0,osoba fizyczna,osoba fizyczna
2020-07-02,Gdańsk, Strzyża,własność-własność,33.19,0.0,nie podano,1506.48,50000.0,"pokój:1,kuchnia:1,łazienka:1,przedpokój:1",4.0,osoba fizyczna,osoba fizyczna
2020-11-18,Gdańsk, Aniołki,własność-własność,37.400000000000006,8.8,piwnica,2125.28,79485.6,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,"przeds., spółka, firma"
2020-06-03,Gdynia, Pustki Cisowskie - Demptowo,własność-własność,46.41,25.950000000000003,komórka lokatorska,2154.71,100000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",1.0,osoba fizyczna,osoba fizyczna
2021-03-30,Gdańsk, Wrzeszcz,własność-własność,74.1,0.0,brak,2159.24,160000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1,spiżarka:1",3.0,osoba fizyczna,osoba fizyczna
2021-02-08,Gdańsk, Nowy Port,własność-własność,40.1,0.0,brak,2244.39,90000.0,"pokój:2,kuchnia:1,wc:1,przedpokój:1",3.0,osoba fizyczna,osoba fizyczna
2020-12-17,Gdańsk, Orunia,własność-własność,47.7,0.0,brak,2306.08,110000.0,"pokój:2,kuchnia:1,łazienka:1,przedpokój:1",2.0,osoba fizyczna,osoba fizyczna
2020-05-18,Gdańsk, Wrzeszcz,własność-własność,176.32,1.0,nie podano,2426.67,427869.9,"pokój:5,kuchnia:2,łazienka:1,wc:1,przedpokój:2",2.0,osoba fizyczna,osoba fizyczna
